[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,Pd with one Torlon
FILEOPENTIME,3720425186.1401,11/21/2017,11:27 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Pd,SAMPLE_MATERIAL
INFO,Using only *one* torlon,SAMPLE_COMMENT
INFO,3.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.92,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3720429826.12943,139.869735717773,10000.087890625,,,6,,,,39.183171694562,,,1,,,,,,,,,,,,,,,,,,,,,,139.850845336914,139.890686035156,10000.087890625,10000.087890625,,,6.40811634063721,-99999999,1,0,0,0,0,31.2805480957031,1,1,1,139.869934082031,0,139.871303982205,,,-7.31671966393393E-5,5.36366456324084E-6,-8.89192769230723E-5,5.40210899236488E-6,0.26712629199028,0.429007649421692,41.2372093200684,0.277823567390442,30,4,200,0.000111661196569912,-0.899985492229462,-0.256342679262161,1,,,,,,,,,,,,,,,,
,3720430013.78105,131.88053894043,10000.087890625,,,6,,,,39.1579722242974,,,1,,,,,,,,,,,,,,,,,,,,,,131.8603515625,131.899108886719,10000.087890625,10000.087890625,,,6.3669114112854,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,131.894577026367,0,131.879144287109,,,-7.13928644802486E-5,5.42556014247346E-6,-8.90589382796403E-5,5.46932653377135E-6,0.245493099093437,0.416536659002304,41.3341751098633,0.288074940443039,30,4,200,0.000617605284787714,-0.903068006038666,-0.255239635705948,1,,,,,,,,,,,,,,,,
,3720430162.1985,123.784210205078,10000.087890625,,,6,,,,39.1325731459618,,,1,,,,,,,,,,,,,,,,,,,,,,123.765319824219,123.799278259277,10000.087890625,10000.087890625,,,6.33134365081787,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,123.803100585938,0,123.784038543701,,,-6.97884228955659E-5,5.48602574823734E-6,-8.93352870573419E-5,5.53502493057993E-6,0.227054297924042,0.406711637973785,41.4222183227539,0.297968149185181,30,4,200,-7.61754708946682E-5,-0.917008519172668,-0.259981840848923,1,,,,,,,,,,,,,,,,
,3720430306.16672,115.786819458008,10000.087890625,,,6,,,,39.1073633674849,,,1,,,,,,,,,,,,,,,,,,,,,,115.773101806641,115.796737670898,10000.087890625,10000.087890625,,,6.29871273040771,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,115.800537109375,0,115.785096910265,,,-6.82439456580056E-5,5.55028794818549E-6,-8.97001484921865E-5,5.60526633407171E-6,0.2101089656353,0.397539675235748,41.5055656433105,0.308355093002319,30,4,200,-3.45085609296802E-5,-0.919186234474182,-0.255807340145111,1,,,,,,,,,,,,,,,,
,3720430449.75427,107.816146850586,10000.087890625,,,6,,,,39.0870148204541,,,1,,,,,,,,,,,,,,,,,,,,,,107.801597595215,107.827926635742,10000.087890625,10000.087890625,,,6.26662921905518,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,107.830696105957,0,107.814294603136,,,-6.66037644379987E-5,5.60859207838185E-6,-8.99301600071606E-5,5.66881899065319E-6,0.194272711873054,0.388474464416504,41.5886726379395,0.319319278001785,30,4,200,0.000739132985472679,-0.918380975723267,-0.251390367746353,1,,,,,,,,,,,,,,,,
,3720430596.63973,99.816951751709,10000.087890625,,,6,,,,39.0667130047075,,,1,,,,,,,,,,,,,,,,,,,,,,99.8004913330078,99.8287887573242,10000.087890625,10000.087890625,,,6.23201131820679,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,99.8334121704102,0,99.8119186401367,,,-6.50986470360502E-5,5.6739265413127E-6,-9.02625126502584E-5,5.73998371398224E-6,0.179911091923714,0.379621803760529,41.6653633117676,0.330541133880615,30,4,200,0.00093912536976859,-0.919099450111389,-0.244842007756233,1,,,,,,,,,,,,,,,,
,3720436480.24697,99.9514465332031,10000.3583984375,,,6,,,,39.1416959094564,,,1,,,,,,,,,,,,,,,,,,,,,,99.9386444091797,99.9607086181641,10000.3583984375,10000.3583984375,,,6.84277820587158,-99999999,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,99.9558258056641,0,99.9498206244575,,,-6.82295317183108E-5,5.98188942299554E-6,-9.46484221603375E-5,6.05423560509658E-6,0.17757984995842,0.373877167701721,41.8015899658203,0.33251690864563,30,4,200,0.146745249629021,-0.325148940086365,0.64395147562027,1,,,,,,,,,,,,,,,,
,3720436608.79128,92.8271636962891,10000.3583984375,,,6,,,,39.1061504916433,,,1,,,,,,,,,,,,,,,,,,,,,,92.799446105957,92.8364028930664,10000.3583984375,10000.3583984375,,,6.71235847473145,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,92.8434906005859,0,92.8181321885851,,,-6.501906292266E-5,5.7311537346386E-6,-9.11145996846092E-5,5.79993805703125E-6,0.175477832555771,0.378637045621872,41.7502517700195,0.334281384944916,30,4,200,0.00531644187867641,-0.759910404682159,-0.0538338534533978,1,,,,,,,,,,,,,,,,
,3720436732.75442,85.7088165283203,10000.3583984375,,,6,,,,39.0527996654496,,,1,,,,,,,,,,,,,,,,,,,,,,85.6918411254883,85.7200317382813,10000.3583984375,10000.3583984375,,,6.56409358978271,-99999999,1,0,0,0,0,29.8142719268799,1,1,1,85.7185516357422,0,85.7050603230794,,,-6.35520402409667E-5,5.77655974538999E-6,-9.1442069462985E-5,5.8504901662565E-6,0.163990810513496,0.373652786016464,41.7846603393555,0.344737619161606,30,4,200,-3.12670708808582E-5,-0.485436886548996,0.193048447370529,1,,,,,,,,,,,,,,,,
,3720436848.26208,78.500301361084,10000.3583984375,,,6,,,,39.0167147244564,,,1,,,,,,,,,,,,,,,,,,,,,,78.4679107666016,78.4989395141602,10000.3583984375,10000.3583984375,,,6.38313674926758,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,78.5105209350586,0,78.4844833374023,,,-6.23505769718758E-5,5.81889278256718E-6,-9.17479842644614E-5,5.89771505867224E-6,0.154784291982651,0.369130671024322,41.8203773498535,0.353956013917923,30,4,200,-0.000902912055607885,-0.452067166566849,0.235694974660873,1,,,,,,,,,,,,,,,,
,3720436968.73607,71.3456420898438,10000.3583984375,,,6,,,,38.9965546697442,,,1,,,,,,,,,,,,,,,,,,,,,,71.3317947387695,71.3498001098633,10000.3583984375,10000.3583984375,,,6.23810243606567,-99999999,1,0,0,0,0,30.3030319213867,1,1,1,71.359489440918,0,71.3419782850477,,,-6.13136171668283E-5,5.84194696425141E-6,-9.17121029137697E-5,5.92384348521013E-6,0.147951796650887,0.36457771062851,41.8502464294434,0.361409932374954,30,4,200,-0.000326382840285078,-0.466352224349976,0.22261805832386,1,,,,,,,,,,,,,,,,
,3720437089.63707,64.2301712036133,10000.3583984375,,,6,,,,38.9863912225703,,,1,,,,,,,,,,,,,,,,,,,,,,64.2199325561523,64.2330932617187,10000.3583984375,10000.3583984375,,,6.13091564178467,-99999999,1,0,0,0,0,30.3030319213867,1,1,1,64.2342987060547,0,64.2266303168403,,,-6.11455443901062E-5,5.88804375992158E-6,-9.22767272068266E-5,5.97249988452891E-6,0.144584000110626,0.362668067216873,41.8718147277832,0.365270346403122,30,4,200,0.000578139559365809,-0.476782828569412,0.213018909096718,1,,,,,,,,,,,,,,,,
,3720437210.8581,57.1130142211914,10000.3583984375,,,6,,,,38.9710297922114,,,1,,,,,,,,,,,,,,,,,,,,,,57.0990715026855,57.1258277893066,10000.3583984375,10000.3583984375,,,6.03984308242798,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,57.1003913879395,0,57.1123229132758,,,-6.02037657801174E-5,5.92974510052081E-6,-9.25446589447865E-5,6.01841815646546E-6,0.137688249349594,0.358269780874252,41.9194297790527,0.373615801334381,30,4,200,0.000807601609267294,-0.475505858659744,0.219947800040245,1,,,,,,,,,,,,,,,,
,3720437340.00187,49.931755065918,10000.3583984375,,,6,,,,38.9608951130236,,,1,,,,,,,,,,,,,,,,,,,,,,49.919548034668,49.9420166015625,10000.3583984375,10000.3583984375,,,5.94057512283325,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,49.9214935302734,0,49.9289300706651,,,-5.88129843749137E-5,5.94159378500198E-6,-9.22749347829233E-5,6.03401163873304E-6,0.13036385178566,0.353269815444946,41.9691047668457,0.383244246244431,30,4,200,-0.000118313226266764,-0.468712210655212,0.222438842058182,1,,,,,,,,,,,,,,,,
