[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,Pd with one Torlon [Background Data]
FILEOPENTIME,3720439357.30168,11/21/2017,3:23 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Torlon,SAMPLE_MATERIAL
INFO,Background data: One Torlon offcentered, used in Pd with one Torlon,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.92,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3720444011.45363,139.891502380371,10000.1865234375,,,6,,,,38.9256942863532,,,1,,,,,,,,,,,,,,,,,,,,,,139.862716674805,139.904769897461,10000.1865234375,10000.1865234375,,,6.00796508789063,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,139.900604248047,0,139.88576965332,,,-0.000203812121993031,1.36133815551202E-5,-0.000276220929078109,1.37832669825589E-5,0.33484822511673,0.969007968902588,36.2182121276855,0.253295451402664,30,4,200,0.000572852324694395,-0.245142996311188,1.10960209369659,1,,,,,,,,,,,,,,,,
,3720444159.33662,131.683609008789,10000.1865234375,,,6,,,,38.9001003565308,,,1,,,,,,,,,,,,,,,,,,,,,,131.652435302734,131.700225830078,10000.1865234375,10000.1865234375,,,5.97221803665161,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,131.714782714844,0,131.676829528809,,,-0.000203487467607662,1.359982823941E-5,-0.00027595574837383,1.37697366566777E-5,0.334347128868103,0.969704687595367,36.1895790100098,0.253446400165558,30,4,200,-0.00052830867934972,-0.241245627403259,1.11208665370941,1,,,,,,,,,,,,,,,,
,3720444304.95036,123.891647338867,10000.1865234375,,,6,,,,38.8747997389881,,,1,,,,,,,,,,,,,,,,,,,,,,123.866088867188,123.899612426758,10000.1865234375,10000.1865234375,,,5.94330883026123,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,123.903755187988,0,123.883562469482,,,-0.000201612681814659,1.35457603577114E-5,-0.000274888685595066,1.37170643382894E-5,0.329973876476288,0.968370258808136,36.1438331604004,0.254816651344299,30,4,200,0.00125392677728087,-0.242549687623978,1.10628640651703,1,,,,,,,,,,,,,,,,
,3720444450.04458,115.787906646729,10000.1865234375,,,6,,,,38.8495080872687,,,1,,,,,,,,,,,,,,,,,,,,,,115.761688232422,115.80842590332,10000.1865234375,10000.1865234375,,,5.91130924224854,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,115.814125061035,0,115.783459472656,,,-0.000200839468848237,1.3519445605207E-5,-0.000274377271829726,1.36915515920422E-5,0.328417658805847,0.968353807926178,36.1109161376953,0.255293726921082,30,4,200,0.000561667664442211,-0.237995162606239,1.10856628417969,1,,,,,,,,,,,,,,,,
,3720444592.97284,107.786567687988,10000.1865234375,,,6,,,,38.829246735985,,,1,,,,,,,,,,,,,,,,,,,,,,107.767601013184,107.800415039062,10000.1865234375,10000.1865234375,,,5.88028192520142,-99999999,1,0,0,0,0.0147247314453125,30.7917900085449,1,1,1,107.805534362793,0,107.786348978678,,,-0.000199651342306235,1.34865145965748E-5,-0.000273734501745952,1.36597303277298E-5,0.325576961040497,0.967771172523498,36.0767593383789,0.256170153617859,30,4,200,5.20644207426812E-5,-0.231386348605156,1.11292159557343,1,,,,,,,,,,,,,,,,
,3720444736.50082,99.8250503540039,10000.1865234375,,,6,,,,38.8089724540052,,,1,,,,,,,,,,,,,,,,,,,,,,99.8058700561523,99.8362884521484,10000.1865234375,10000.1865234375,,,5.84994506835938,-99999999,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,99.8442306518555,0,99.8186805031516,,,-0.000197780517504724,1.34332514178694E-5,-0.000272705642231692,1.36082514693921E-5,0.32120355963707,0.968079149723053,36.0343475341797,0.257584422826767,30,4,200,0.00139199499972165,-0.222357764840126,1.11505925655365,1,,,,,,,,,,,,,,,,
,3720445404.69104,99.9998092651367,10000.1982421875,,,6,,,,38.8011085620566,,,1,,,,,,,,,,,,,,,,,,,,,,99.9950866699219,100.001815795898,10000.1982421875,10000.1982421875,,,5.8418345451355,-99999999,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,99.9996185302734,0,99.9986839294434,,,-0.000198158520903332,1.34571025713956E-5,-0.000273197333786452,1.36333692591245E-5,0.321311414241791,0.966778635978699,36.0275077819824,0.257559299468994,30,4,200,6.89527005306445E-5,-0.643356859683991,0.692021191120148,1,,,,,,,,,,,,,,,,
,3720445536.89975,92.6749610900879,10000.1982421875,,,6,,,,38.7806456110774,,,1,,,,,,,,,,,,,,,,,,,,,,92.6559219360352,92.6844787597656,10000.1982421875,10000.1982421875,,,5.79686260223389,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,92.6919555664062,0,92.6696304321289,,,-0.000198281349075962,1.34293080223484E-5,-0.000272627810414636,1.3604306129226E-5,0.323456257581711,0.968233168125153,36.0168037414551,0.256857216358185,30,4,200,-0.00141614291351289,-0.620348393917084,0.718323707580566,1,,,,,,,,,,,,,,,,
,3720445660.8986,85.5905914306641,10000.1982421875,,,6,,,,38.7653757033111,,,1,,,,,,,,,,,,,,,,,,,,,,85.5697860717773,85.5967864990234,10000.1982421875,10000.1982421875,,,5.75965404510498,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,85.6041717529297,0,85.5825614929199,,,-0.000196737933815446,1.33743743915599E-5,-0.000271525544812404,1.35500533986588E-5,0.320495843887329,0.966543853282929,35.9878311157227,0.257812321186066,30,4,200,-0.00111195235513151,-0.616885662078857,0.718107342720032,1,,,,,,,,,,,,,,,,
,3720445785.65197,78.4511604309082,10000.1982421875,,,6,,,,38.7502479230807,,,1,,,,,,,,,,,,,,,,,,,,,,78.4371719360352,78.4589614868164,10000.1982421875,10000.1982421875,,,5.72623300552368,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,78.4651489257812,0,78.4472484588623,,,-0.000195055272471291,1.33139026004227E-5,-0.000270329668854341,1.34906583647052E-5,0.317301571369171,0.96591055393219,35.9571876525879,0.258875519037247,30,4,200,-0.000790625170338899,-0.604857921600342,0.722305476665497,1,,,,,,,,,,,,,,,,
,3720445906.0165,71.3508338928223,10000.1982421875,,,6,,,,38.7350852059619,,,1,,,,,,,,,,,,,,,,,,,,,,71.3313217163086,71.3652191162109,10000.1982421875,10000.1982421875,,,5.68840599060059,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,71.3682403564453,0,71.3447273254394,,,-0.000193235222341895,1.32511603809188E-5,-0.000269098626889399,1.34289450692953E-5,0.313690602779388,0.9665287733078,35.9232940673828,0.26008728146553,30,4,200,-0.000466108525870368,-0.586701333522797,0.731165885925293,1,,,,,,,,,,,,,,,,
,3720446026.32143,64.2251815795898,10000.1982421875,,,6,,,,38.7249722158127,,,1,,,,,,,,,,,,,,,,,,,,,,64.2150344848633,64.2304534912109,10000.1982421875,10000.1982421875,,,5.64463567733765,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,64.2353286743164,0,64.2217771742079,,,-0.000191432128068804,1.31999266449986E-5,-0.00026813243308572,1.33805216097517E-5,0.309486478567123,0.966983914375305,35.8915672302246,0.261519938707352,30,4,200,0.000400018237996846,-0.567794024944305,0.743492960929871,1,,,,,,,,,,,,,,,,
,3720446149.01946,57.1115894317627,10000.1982421875,,,6,,,,38.7148502178387,,,1,,,,,,,,,,,,,,,,,,,,,,57.0974273681641,57.1238861083984,10000.1982421875,10000.1982421875,,,5.58512878417969,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,57.0994110107422,0,57.1090032789442,,,-0.000189508054758176,1.30993863955036E-5,-0.000266078611975901,1.3278913935801E-5,0.307632982730865,0.965038180351257,35.8728828430176,0.262166231870651,30,4,200,0.000921675353311002,-0.539474070072174,0.771321535110474,1,,,,,,,,,,,,,,,,
,3720446282.10008,49.9376087188721,10000.1982421875,,,6,,,,38.6996856899899,,,1,,,,,,,,,,,,,,,,,,,,,,49.9250221252441,49.9490852355957,10000.1982421875,10000.1982421875,,,5.51000833511353,-99999999,1,0,0,0,0.0147247314453125,30.7917900085449,1,1,1,49.9262008666992,0,49.9348992241753,,,-0.000187040082543024,1.29717857993896E-5,-0.000263539576232771,1.31523021697951E-5,0.305149435997009,0.96482390165329,35.8455924987793,0.26303419470787,30,4,200,7.80974369263276E-5,-1.65599882602692,0.794010639190674,1,,,,,,,,,,,,,,,,
